"","id","gc","mat","Q_05","Q_25","Q_50","Q_75","Q_95"
"2","6_2,N1,Bank ATM",0.34,"plastic",6.76078867006824e-07,1.44067387991553e-06,2.4384643913522e-06,4.32275503939317e-06,1.05682303446208e-05
"3","4_28,N1,Bank door handle A",0.13,"metal",9.54462752389418e-08,2.53987433584957e-07,4.63473938339121e-07,8.59480695503123e-07,2.19700771020292e-06
"4","5_5,N1,Bank door handle B",0.03,"metal",2.2116247311299e-08,5.79713041459762e-08,1.06743118899466e-07,1.96781678091229e-07,5.058045657369e-07
"5","3_27,N1,Crosswalk button A",1.46,"metal",1.05091419370096e-06,2.81476085051136e-06,5.1643489033526e-06,9.64946575227055e-06,2.46967872261194e-05
"6","5_5,N1,Crosswalk button A",1.72,"metal",1.26068235042354e-06,3.34816789904213e-06,6.08849155320224e-06,1.1287712870095e-05,2.9152548640704e-05
"7","4_23,N1,Crosswalk button B",25.82,"plastic",5.19158571489486e-05,0.000109356874825411,0.00018441819715892,0.000329554940681737,0.000803305728282713
"8","4_28,N1,Crosswalk button B",29.46,"plastic",5.90652986337647e-05,0.00012368686739514,0.000209996203102691,0.000372962699842633,0.000917606831899736
"9","6_23,N1,Crosswalk button B",37.05,"plastic",7.39099056623671e-05,0.000156590260090989,0.000262951936838729,0.000470972119136076,0.00116207255770506
"10","4_28,N1,Gas station door handle A",0.16,"metal",1.15002586320578e-07,3.09477596355245e-07,5.66354797226776e-07,1.04115001986482e-06,2.67775127963943e-06
"11","5_5,N1,Gas station door handle A",0.05,"metal",3.60890933026603e-08,9.69869034250781e-08,1.77509361432016e-07,3.27178012793361e-07,8.4699927248577e-07
"12","4_28,N1,Gas station pump A",0.22,"plastic",4.44052804993156e-07,9.31471780041271e-07,1.5781729527653e-06,2.80859570764291e-06,6.89561527570381e-06
"13","6_9,N1,Gas station pump C",0.2,"plastic",3.95530421243295e-07,8.37651350671376e-07,1.41445509382887e-06,2.50199298570952e-06,6.10664781141024e-06
"14","5_12,N1,Grocery store basket handle",0.32,"plastic",6.46117919822498e-07,1.35485953753345e-06,2.30008716456398e-06,4.0835150345031e-06,9.946025121077e-06
"15","5_5,N1,Grocery store door handle A",0.22,"metal",1.62858674668254e-07,4.28816420899869e-07,7.80607907535646e-07,1.45349217153812e-06,3.76066655481955e-06
"16","6_16,N1,Grocery store door handle A",2.54,"metal",1.86739548606596e-06,4.96709580241617e-06,8.98196464282908e-06,1.67270737861658e-05,4.29392980849819e-05
"17","6_16,N1,Grocery store door handle B",11.55,"metal",8.62982085141906e-06,2.25828862288613e-05,4.09132756586383e-05,7.61457292683954e-05,0.000195355277606896
"18","5_19,N1,Laundromat door handle",0.14,"metal",1.02836490212255e-07,2.72985081845034e-07,4.98491869949103e-07,9.22604794395543e-07,2.3544530045605e-06
"20","5_12,N1,Liquor store door handle A",0.14,"metal",1.02400462603791e-07,2.73158018093689e-07,4.96594671217654e-07,9.19982538233333e-07,2.36062845461737e-06
"21","4_28,N1,Liquor store door handle B",0.23,"metal",1.69766511470826e-07,4.46875368320665e-07,8.18337815455816e-07,1.51757928296137e-06,3.907600250036e-06
"22","5_5,N1,Liquor store door handle B",102.43,"metal",7.63709196258622e-05,0.000200133535250446,0.000364666582232887,0.000677738628190455,0.0017087347487368
"23","5_12,N1,Metro door handle",1.11,"metal",8.10840418052905e-07,2.17007185993046e-06,3.95301622529987e-06,7.27431211403062e-06,1.85831244781664e-05
"24","6_16,N1,Metro door handle",0.58,"metal",4.32621599605332e-07,1.13474761442856e-06,2.06848967837514e-06,3.86769113772112e-06,9.90645489277741e-06
"27","5_12,N1,Trash can",0.11,"metal",7.98924239264753e-08,2.11999420213216e-07,3.88365136383406e-07,7.22168256805933e-07,1.84474778301968e-06
"28","5_19,N1,Trash can",0.16,"metal",1.16991096915653e-07,3.12092380327922e-07,5.65578942290923e-07,1.04715694898561e-06,2.68363998791043e-06
"29","5_26,N1,Trash can",0.15,"metal",1.08393234105053e-07,2.91256806506102e-07,5.33744009489912e-07,9.91406902545178e-07,2.53457698914938e-06
"30","5_19,E,Bank ATM",0.17,"plastic",3.43398693364305e-07,7.19386417880052e-07,1.22073835739922e-06,2.17457807380472e-06,5.31049606914413e-06
"37","4_28,E,Crosswalk button B",9.78,"plastic",1.94712522614049e-05,4.13356391163466e-05,7.00507365075653e-05,0.000124599801652303,0.00029958361804087
"44","5_5,E,Grocery store door handle A",0.04,"metal",2.92456723338663e-08,7.76607574914934e-08,1.41292501976142e-07,2.64509138370173e-07,6.74976441045194e-07
"45","6_16,E,Grocery store door handle A",0.51,"metal",3.75663722390618e-07,9.89207887797106e-07,1.80869192645261e-06,3.33969780910714e-06,8.46182375028869e-06
"46","6_16,E,Grocery store door handle B",2.72,"metal",1.97602425247578e-06,5.26317789104058e-06,9.62674087634507e-06,1.79771702398523e-05,4.57960008855229e-05
"48","6_9,E,Laundromat door handle",0.09,"metal",6.57374573276304e-08,1.74781637579668e-07,3.19830822770317e-07,5.9640806154837e-07,1.50335071364415e-06
"50","4_28,E,Liquor store door handle B",0.1,"metal",7.18755609474542e-08,1.93482892929531e-07,3.54206153185821e-07,6.52802655543017e-07,1.67725796248463e-06
"51","5_5,E,Liquor store door handle B",66.99,"metal",4.91607250660442e-05,0.000130173408941558,0.000238001237985896,0.000436923168444514,0.00112166528654266
"52","5_12,E,Metro door handle",0.28,"metal",2.07519938305589e-07,5.4854809131144e-07,1.00455487156426e-06,1.86799364734758e-06,4.73465410749107e-06
"54","6_16,E,Restaurant door handle",0.08,"metal",5.72694748013358e-08,1.5458500263188e-07,2.8358817705243e-07,5.24440873450605e-07,1.3559577405009e-06
"55","4_23,E,Trash can",0.05,"metal",3.66365342230335e-08,9.69008203954846e-08,1.77387615207802e-07,3.27908642711039e-07,8.45260948684199e-07
