"","gc","mat","Q_05","Q_25","Q_50","Q_75","Q_95"
"1",0.062,"metal",4.51118661870531e-08,1.20173543255442e-07,2.21187277382739e-07,4.08610350749461e-07,1.04349990546759e-06
"2",0.008,"metal",5.77471347407155e-09,1.55103197507778e-08,2.83684458146638e-08,5.27815567641365e-08,1.33721541556442e-07
"3",0.007,"metal",5.13374217026019e-09,1.3582870911355e-08,2.48299703575761e-08,4.60996375239997e-08,1.17847891145662e-07
"4",0.015,"metal",1.10761957716754e-08,2.91658330542344e-08,5.32732653546475e-08,9.88481905772609e-08,2.50296185844157e-07
"5",0.002,"concrete",7.56376322685881e-10,2.98040192525661e-09,6.15896450506526e-09,1.21561435084683e-08,3.25164300096769e-08
"6",0.006,"concrete",2.15116739421539e-09,8.94345072999236e-09,1.8496493559006e-08,3.65181934136594e-08,1.00534169117372e-07
"7",0.299,"concrete",1.09493662076021e-07,4.4578045144128e-07,9.20698739970138e-07,1.81661861811677e-06,4.89350605610282e-06
"8",0.02,"metal",1.47379589143792e-08,3.89160911828945e-08,7.09875804805193e-08,1.30852084612165e-07,3.31710829426512e-07
"9",0.005,"metal",3.74574290473717e-09,9.75287076099285e-09,1.78396482031218e-08,3.30125577707729e-08,8.37859022662091e-08
"10",0.211,"metal",1.55169100229946e-07,4.10111616611086e-07,7.52988403907029e-07,1.38606003327602e-06,3.59289717804523e-06
"11",0.052,"metal",3.78899284503298e-08,1.00693836740939e-07,1.84850578455187e-07,3.43699321003754e-07,8.83993214223499e-07
"12",0.007,"metal",5.16545790030243e-09,1.35415587354526e-08,2.48355721543803e-08,4.64953676948543e-08,1.19604354809066e-07
"13",0.208,"metal",1.53066755953502e-07,4.03072472759947e-07,7.34403513058535e-07,1.36539106143641e-06,3.46885219004722e-06
"14",0.02,"concrete",7.51628624895417e-09,2.96540033639658e-08,6.14676765042788e-08,1.21609434799996e-07,3.27028820984454e-07
"15",0.002,"concrete",7.52051376728957e-10,2.97666982729261e-09,6.19430445825131e-09,1.21179781209513e-08,3.27899163099498e-08
"16",0.007,"concrete",2.55529895021311e-09,1.02749529440338e-08,2.14032923606666e-08,4.24002732368756e-08,1.1433147834583e-07
"17",0.007,"concrete",2.67911791640429e-09,1.0525077615009e-08,2.1661175853005e-08,4.26176972601056e-08,1.16140812128629e-07
